cat,treeID,Z,HTLC_x,vol1,vol2,vol3,vol4,vol5,sfa1,sfa2,sfa3,sfa4,sfa5,UndHt,XTOP,YTOP,ZTOP,Carea,mCDst,plotID,uni,NNhere,CI_Carea,CI_Z,CI_mCDst,CI_HTLC,CI_vol1,CI_vol2,CI_vol3,CI_vol4,CI_vol5,CI_sfa1,CI_sfa2,CI_sfa3,CI_sfa4,CI_sfa5,SILVA1,SILVA2,X1,Y1,Id,Area,NL,pStV_LMR,pStV_RF,pDBH_LMR,pDBH_RF,geom_type,geom_x,geom_y,Z_ft,status,tree_idx_in_row,thin_decision
173,286,21.743,14.0,3.071,16.821,29.165,34.753,42.851,12.168,36.691,52.683,62.644,76.927,0.0,725463.19675,4162730.513,21.74275,7.51467184297508,3.504,1,285,8,2.662,2.576,2.393,2.458,2.701,2.455,2.475,2.46,2.611,2.477,2.494,2.407,2.423,2.544,8.0,191.0,725463.273,4162730.664,0,26844.5658775,3,12.5891163268836,11.7007797666667,8.53410834812873,7.66020337930071,Point,725463.273,4162730.664,71.33530411999999,Alive,15,Thin
164,274,21.777,13.8,3.179,18.076,33.34,42.371,49.364,12.138,38.155,57.957,70.734,83.062,0.0,725466.41425,4162732.9305,21.77675,8.16220190585591,3.789,1,273,6,2.316,2.163,2.123,1.968,2.317,2.097,2.462,2.608,2.566,1.951,2.089,2.307,2.358,2.332,7.0,145.0,725466.098,4162732.667,0,26844.5658775,3,13.4602028035809,14.0136657666667,8.89574869603846,8.58091667802261,Point,725466.098,4162732.667,71.44685268,Alive,16,Keep
162,272,20.305,14.4,4.851,16.854,21.291,25.27,31.306,15.746,36.745,43.502,52.277,65.841,0.0,725467.367,4162733.05375,20.3055,5.99275459372439,3.66,1,271,5,1.692,1.9,2.015,2.011,2.405,1.964,1.472,1.434,1.56,2.219,2.004,1.621,1.614,1.772,5.0,116.0,725468.119,4162733.242,0,26844.5658775,3,10.5484607993152,11.1182867333333,8.144935092393,8.36262333925697,Point,725468.119,4162733.242,66.61745619999999,Alive,17,Keep
157,265,20.922,13.4,4.478,13.167,22.114,26.452,30.472,14.635,30.918,46.565,56.186,65.474,12.2,725469.42325,4162734.748,20.92175,5.34190762537764,3.412,1,264,7,2.269,2.665,2.583,2.301,3.043,2.237,2.583,2.495,2.495,2.591,2.333,2.674,2.629,2.622,9.0,251.0,725469.272,4162734.775,0,26844.5658775,3,10.5141547941233,13.6821698666667,8.24844963875453,8.44994001464936,Point,725469.272,4162734.775,68.64173448,Alive,18,Keep
154,261,21.462,18.2,4.623,15.242,22.221,29.403,32.947,15.387,34.117,45.041,58.715,67.489,0.0,725470.977,4162736.00025,21.46175,5.65299509325996,3.294,1,260,7,2.694,2.829,2.631,3.306,3.733,3.086,2.94,3.206,3.137,3.113,2.917,2.77,2.977,2.956,0.0,0.0,725470.692,4162735.842,0,26844.5658775,3,11.7708364677643,15.4360090666667,8.15733467412299,7.8999433314665,Point,725470.692,4162735.842,70.41338808,Alive,19,Thin
150,255,20.436,15.8,4.074,15.052,22.127,26.154,30.716,14.288,33.725,46.273,55.704,66.128,0.0,725471.536,4162736.24375,20.43575,6.10007274954114,3.485,1,254,7,2.77,2.624,2.734,2.675,3.3,2.888,2.773,2.605,2.677,2.924,2.757,2.752,2.669,2.719,2.0,37.0,725472.188,4162736.681,0,26844.5658775,3,10.7646081916853,14.1202044333333,7.73586693292301,8.08355667545596,Point,725472.188,4162736.681,67.04724623999999,Alive,20,Thin
147,251,20.816,17.2,3.249,15.202,23.606,29.816,33.589,11.873,34.109,46.87,58.356,67.368,0.0,725474.054,4162737.538,20.81575,6.05951196909882,3.277,1,250,8,2.841,2.956,2.682,3.287,2.267,2.972,3.084,3.215,3.149,2.334,2.95,2.945,3.02,2.99,0.0,0.0,725473.943,4162737.479,0,26844.5658775,3,11.4262961373186,14.2927655666667,8.05472246468497,7.93255333340553,Point,725473.943,4162737.479,68.29396544,Alive,21,Thin
144,247,19.474,14.8,4.782,14.742,20.957,24.571,27.798,15.941,32.176,43.063,50.718,58.338,9.4,725475.69775,4162738.771,19.4735,6.06909409392392,3.391,1,246,7,2.035,2.345,2.215,2.457,2.944,2.153,1.863,1.718,1.704,2.787,2.19,2.039,1.932,1.933,4.0,114.0,725475.645,4162738.709,0,26844.5658775,3,9.62198098595331,10.4465022,7.82444268773866,8.15889333927484,Point,725475.645,4162738.709,63.89107816,Alive,22,Keep
141,241,19.602,12.8,4.47,18.777,33.466,40.699,45.8,14.824,37.211,56.615,67.759,75.857,0.0,725476.9135,4162739.968,19.602,8.51867881201906,3.937,1,240,6,1.932,1.936,1.877,1.988,1.848,1.967,2.125,2.025,1.992,1.784,1.889,1.983,1.918,1.879,6.0,123.0,725477.326,4162740.185,0,26844.5658775,3,11.7102593540176,12.1473851666667,8.60215371041943,8.97717669832658,Point,725477.326,4162740.185,64.31102568,Alive,23,Keep
208,326,19.872,16.0,3.223,13.064,21.054,27.721,32.363,12.778,31.051,44.808,57.576,66.989,0.0,725440.6635,4162724.08625,19.87175,5.113355062349,3.24,1,325,7,1.605,2.362,1.995,3.331,2.725,2.166,1.79,1.762,1.714,2.643,2.22,2.011,2.021,1.96,3.0,91.0,725440.414,4162725.266,0,26844.5658775,65,10.4508147138891,11.8368939666667,8.41569357783697,8.57393003876563,Point,725440.414,4162725.266,65.19685248,Alive,1,Keep
