cat,treeID,Z,HTLC_x,vol1,vol2,vol3,vol4,vol5,sfa1,sfa2,sfa3,sfa4,sfa5,UndHt,XTOP,YTOP,ZTOP,Carea,mCDst,plotID,uni,NNhere,CI_Carea,CI_Z,CI_mCDst,CI_HTLC,CI_vol1,CI_vol2,CI_vol3,CI_vol4,CI_vol5,CI_sfa1,CI_sfa2,CI_sfa3,CI_sfa4,CI_sfa5,SILVA1,SILVA2,X1,Y1,Id,Area,NL,pStV_LMR,pStV_RF,pDBH_LMR,pDBH_RF,geom_type,geom_x,geom_y,Z_ft,status,tree_idx_in_row,thin_decision
738,998,21.505,14.6,3.773,14.776,25.696,30.483,37.406,13.145,32.862,49.684,59.183,72.346,0.0,725455.63275,4162678.17,21.50475,6.00454196851933,3.2,1,997,7,2.289,2.548,2.256,2.404,2.493,2.329,2.494,2.395,2.432,2.279,2.325,2.454,2.408,2.428,7.0,184.0,725455.558,4162678.248,0,26844.5658775,16,11.8396074904124,13.4127923333333,8.4339251824495,8.74598000849997,Point,725455.558,4162678.248,70.5544642,Alive,4,Keep
722,977,20.701,14.2,7.095,22.869,35.432,40.137,55.707,21.31,43.67,60.115,67.547,89.388,0.0,725457.62675,4162678.70125,20.70075,8.36189228112926,3.83,1,976,6,2.479,2.09,2.197,2.1,4.401,3.06,2.849,2.612,3.012,3.444,2.632,2.514,2.32,2.563,7.0,137.0,725457.727,4162679.257,0,26844.5658775,16,13.5005554267377,13.3782779666667,8.81192672656121,8.85262671179283,Point,725457.727,4162679.257,67.91666884,Alive,5,Keep
684,923,20.363,13.6,4.46,20.094,31.843,36.125,45.233,16.059,41.381,56.572,63.663,79.616,0.0,725458.60125,4162680.3505,20.363,8.27656940591987,3.861,1,922,6,2.148,2.013,2.018,1.973,2.687,2.549,2.267,2.015,2.079,2.507,2.384,2.187,1.986,2.071,8.0,196.0,725459.601,4162680.806,0,26844.5658775,16,11.9544201596035,13.3196873666667,8.54140248553233,8.7675233767013,Point,725459.601,4162680.806,66.80774492,Alive,6,Keep
666,899,22.053,14.6,2.508,11.049,23.716,31.77,36.365,10.473,28.232,48.316,63.238,73.464,0.0,725461.491,4162682.26725,22.05275,6.43121603131294,3.877,1,898,6,1.761,2.322,2.221,2.306,1.37,1.342,1.692,1.848,1.839,1.581,1.618,1.906,2.092,2.099,3.0,78.0,725461.475,4162682.163,0,26844.5658775,16,12.3417377857986,12.8042806333333,9.03770843185089,8.80345003036324,Point,725461.475,4162682.163,72.35236452000001,Alive,7,Keep
650,877,20.976,14.0,4.271,15.446,26.031,32.463,35.693,14.837,33.858,50.24,60.925,69.258,0.0,725463.06775,4162683.30525,20.97625,6.14005050016567,3.358,1,876,6,2.046,2.299,2.111,2.271,2.982,2.522,2.276,2.264,2.131,2.705,2.372,2.268,2.238,2.172,6.0,150.0,725463.057,4162683.211,0,26844.5658775,16,11.3904882384448,13.3882890333333,8.3435112290928,8.641196665138,Point,725463.057,4162683.211,68.81889984,Alive,8,Keep
633,853,20.021,13.6,5.306,16.455,25.58,29.973,36.996,16.765,35.513,49.406,58.392,72.685,0.0,725464.94425,4162684.27725,20.021,6.53750009357464,3.513,1,852,7,2.678,2.531,2.634,2.442,4.041,2.949,2.738,2.517,2.721,3.355,2.8,2.674,2.543,2.763,9.0,200.0,725464.797,4162684.166,0,26844.5658775,16,10.7956488016897,11.6481687333333,7.95659615285252,7.84634667530606,Point,725464.797,4162684.166,65.68569764,Alive,9,Keep
594,799,21.363,14.6,3.724,14.907,23.997,27.832,28.131,13.592,34.021,48.208,55.07,55.433,0.0,725469.15425,4162687.09125,21.3625,6.10533015651163,3.495,1,798,6,2.056,2.331,2.2,2.207,2.288,2.23,2.213,2.104,1.843,2.246,2.26,2.243,2.151,1.856,5.0,122.0,725469.243,4162686.975,0,26844.5658775,16,10.8584387612603,12.8089455666667,8.15321612324185,8.27011335554123,Point,725469.243,4162686.975,70.08858492,Alive,12,Keep
578,777,21.094,13.6,3.568,17.97,34.331,41.676,47.9,13.685,37.664,59.148,69.257,80.368,0.0,725470.79,4162688.26275,21.09375,8.87645634348155,3.939,1,776,6,2.42,2.016,2.169,1.836,1.725,2.09,2.41,2.532,2.511,1.855,2.056,2.241,2.302,2.29,6.0,121.0,725470.866,4162688.462,0,26844.5658775,16,12.9146853467446,12.6193647333333,8.56973029743491,8.22344666892863,Point,725470.866,4162688.462,69.20603896,Alive,13,Keep
558,753,20.904,14.0,5.109,18.327,31.203,33.347,43.051,16.729,38.58,56.61,60.335,75.991,0.0,725473.8495,4162689.73275,20.9045,8.29569015622838,3.694,1,752,7,2.455,2.271,2.26,2.188,3.014,2.449,2.502,2.143,2.351,2.62,2.393,2.459,2.148,2.275,6.0,134.0,725473.591,4162689.685,0,26844.5658775,16,12.2131534236079,12.0498958,8.41155649659847,8.40220670309624,Point,725473.591,4162689.685,68.58267936,Alive,14,Keep
540,725,20.73,14.6,5.627,17.328,23.83,30.119,32.424,17.859,37.162,47.61,59.997,66.634,0.0,725474.56025,4162692.46825,20.73,6.01099856221117,3.405,1,724,7,2.107,2.516,2.369,2.469,3.107,2.54,2.222,2.294,1.999,2.839,2.546,2.347,2.448,2.215,5.0,145.0,725475.257,4162691.074,0,26844.5658775,16,10.8759670933645,12.9566120333333,8.31484589013643,8.59844333501984,Point,725475.257,4162691.074,68.0118132,Alive,15,Keep
